代码名称,代码,引用标准,"单位
Unit",C11-2nd目标值,C11-2nd实测值,理想L7,理想L6,深蓝S7,领克08,极氪7X,阿维塔07,小鹏G6,小鹏G7,C18-实测值,唐L,理想L8,蓝山,银河M9,C05目标值,ET5-T,Porsche Panamera 2023款,Zeeker 007 GT,小鹏全新P7,C10目标值,C10(27）,深蓝S7,C16-27-6座,C16-27-5座,27款（6座）,唐DM-i,L7,C11RE1A,C11EV1A,C11RE1A-26款,领克08,小鹏G6,宋L,理想L6
整车长 Overall Length,L103,SAE J1100,mm,4978,4975,5050,4911,4732,4820,4786,4825,4733,4870,5127,,5088,5147,5169,5050±30,4788,5067,4807,5037,"
4660±10",4735,4732,4905±20,4905±20,4905,,5050,4760±20,4760±20,4758,4820,4733,4732,4911
整车宽度(无外后视镜) Vehicle Width (excl mirrors),W103,SAE J1100,mm,1960,1968,1995,1978,1938,1915,1921,1980,1922,1944,1960,,2022,1980,1981,1960±10,1964,1944,1909,1970,"
1870",1890,1938,1890±10,1890±10,1890,,1995,1890±10,1890±10,1890,1915,1922,1938,1978
整车宽度(包括外后视镜) Vehicle Width (include mirrors),W144,SAE J1100,mm,,/,2213,/,/,,,,/,/,,,,,/,,2190,2164,2090,/,/,/,/,/,/,/,,2213,/,/,/,,/,/,/
整车车身高度 Vehicle Height-Body,H100,SAE J1100,mm,1690,1697,1708,1730,1604,1685,1651,1620,1647,1643,1773,,1788,1804,1791,1497±10,1496,1435,1446,1440,1660,1665,1604,1716±10,1716±10,1716,,1708,1650±10,1650±10,1645,1685,1647,1604,1730
最大车高 Vehicle Height  Maximum,H101,SAE J1100,mm,,1697,/,1730,1604,,,,/,1643,1775,,1788,1804,1791,,1496,1435,1446,1440,1680,1686,1604,,,1767,,/,1650±10,1650±10,/,,/,1604,1730
轴距 Wheelbase,L101,SAE J1100,mm,2980,2978,3002,2896,2900,2848,2899,2940,2866,2864,2978,,2998,3041,2998,2980±10,2888,2955,2898,3029,2810,2810,2900,2810,2810,2809,,3002,2923±10,2923±10,2923,2848,2866,2900,2896
前轮距 Track Width-front,W101-1,SAE J1100,mm,,1685,1725,/,/,1635,1651.6(数据测得）,,1635,/,,,/,,/,,/,/,/,/,"
1607",1607,/,1624,1624,/,,1725,1606±10,1606±10,1606,1635,1635,/,/
后轮距 Track Width-rear,W101-2,SAE J1100,mm,,1675,1741,/,/,1635,1655.8（数据测得）,,1650,/,,,/,,/,,/,/,/,/,"
1610",1614,/,1621.5,1621.5,/,,1741,1601±5,1601±5,1601,1635,1650,/,/
前悬 Front Overhang,L104,SAE J1100,mm,960,965±10(959),970,965,884,930,857,,904,948,1002,,965,987,993,970±10,898,975,878,918,900,956,884,955±15,955±15,956,,970,873±10,873±10,873,930,904,884,965
后悬 Rear Overhang,L105,SAE J1100,mm,1045,1045±10(1037),1078,1050,967,1042,1030,,963,1059,1147.5,,1125,1119,1178,1100±20,1002,1137,1031,1090,"
950±10",968,967,1135±10,1135±10,1140,,1078,960±10,960±10,962,1042,963,967,1050
天窗形式（可开启or全景天幕or双天幕）,全景/小/无,,,天幕,天幕,双天幕,天幕,天幕,,,,天幕,天幕,,,双天窗,双天窗,双天幕,,/,/,/,天幕,/,/,天幕,/,/,/,,双天幕,,,天幕,,天幕,天幕,天幕
接近角(空载) Approach Angle at CVM,A106-1,SAE J1100,°,19,≥18.3,15.7,19.2,19,18,19.9,,17.9,17.3,18,,18.2,20.2,18.6,≥14,12,11.7,13,13.7,"
17.5",17,19,≥18.5,≥18.5,18.9,,15.7,19.5,20,19.5/20,18,17.9,19,19.2
离去角(空载) Departure Angle at CVM,A106-2,SAE J1100,°,18,≥20.3,18.6,21.2,24,,21.1,,22.1,21.1,20,,19.5,22.7,20.6,≥17,17.4,14.1,17.1,15.3,23,23.1,24,≥21,≥21,21,,18.6,23,23,18,,22.1,24,21.2
